Episode,Published,Views,Likes,Comments,ID,Time (sec),URL
Garibaldi: The Cost of War | Unifying Italy | Extra History | Part 4,2024-09-21,294236,11820,355,vPb0pZwyYKc,661.0,https://www.youtube.com/watch?v=vPb0pZwyYKc
History's Dumbest Duels: Artist vs Critic | Extra History #shorts,2024-09-17,3695409,353883,1485,bpAeiqUtNh0,60.0,https://www.youtube.com/watch?v=bpAeiqUtNh0
Garibaldi: The Siege of Rome | Unifying Italy | Extra History | Part 3,2024-09-14,311692,12531,415,nJI-OfZuJg8,699.0,https://www.youtube.com/watch?v=nJI-OfZuJg8
China's Most Devastating Earthquake: Worst Days in History | Kickstarter Voted Topic #short,2024-09-10,2873352,294836,916,j_I9IKF4nCc,59.0,https://www.youtube.com/watch?v=j_I9IKF4nCc
Garibaldi: For Love and Country | Unifying Italy | Extra History | Part 2,2024-09-07,378606,13887,401,HLf6ONK1JP4,655.0,https://www.youtube.com/watch?v=HLf6ONK1JP4
Peter the Great's Poor Parenting | Worst Dads in History #shorts,2024-09-04,2738153,277970,1108,YKRdREGzFUs,60.0,https://www.youtube.com/watch?v=YKRdREGzFUs
Garibaldi: Hero of Two Worlds | Unifying Italy | Extra History | Part 1,2024-08-31,518537,20103,717,_kbjIwH8jBM,651.0,https://www.youtube.com/watch?v=_kbjIwH8jBM
A Dad's Destroyed Legacy: King George IV | Worst Kids in History #shorts,2024-08-27,6432111,513540,1410,2JKdim2WMVI,60.0,https://www.youtube.com/watch?v=2JKdim2WMVI
Joan of Arc | Extra History Complete | European History,2024-08-24,932558,24986,694,OvE23dL0rkU,3186.0,https://www.youtube.com/watch?v=OvE23dL0rkU
Invasion of Quebec | LIES | Extra History,2024-08-21,60061,1615,119,r4SIBeuVdn4,1970.0,https://www.youtube.com/watch?v=r4SIBeuVdn4
A Real Roman Daddy | Best Dads in History #shorts,2024-08-20,5753334,604271,1604,2X2GTLoqtN4,59.0,https://www.youtube.com/watch?v=2X2GTLoqtN4
Benedict Arnold: Path to Betrayal | US History | Extra History | Part 2,2024-08-17,296176,12233,485,biIzip1F8GI,682.0,https://www.youtube.com/watch?v=biIzip1F8GI
The TRUE Illuminati Symbology 👁️ | European History #shorts,2024-08-13,5237087,456617,4324,lDuBFngREPk,58.0,https://www.youtube.com/watch?v=lDuBFngREPk
Benedict Arnold: From War Hero to Traitor | US History | Extra History | Part 1,2024-08-10,454875,16256,596,SG-NWQvcZI0,638.0,https://www.youtube.com/watch?v=SG-NWQvcZI0
Deadline's Deadly History | US History #shorts,2024-08-06,1800895,165829,246,it4wyFvbYiQ,55.0,https://www.youtube.com/watch?v=it4wyFvbYiQ
Invasion of Quebec: No Retreat | US History | Extra History | Part 4,2024-08-03,276890,10190,340,6trYjVdxeRs,692.0,https://www.youtube.com/watch?v=6trYjVdxeRs
Eleanor's Aggressive Mothering | Best Mom's in History #shorts,2024-07-30,12944563,1062552,2336,0NwEBO-aN98,53.0,https://www.youtube.com/watch?v=0NwEBO-aN98
Invasion of Quebec: Battle in the Streets | US History | Extra History | Part 3,2024-07-27,302678,10704,344,t0xbGEADSSE,595.0,https://www.youtube.com/watch?v=t0xbGEADSSE
Best Pranks in History! | 1749 Theater Riot #shorts,2024-07-23,6028860,503976,914,z6IGZ2dECNE,60.0,https://www.youtube.com/watch?v=z6IGZ2dECNE
Invasion of Quebec: Benedict Arnold’s Death March | US History | Extra History | Part 2,2024-07-20,355424,12372,331,RZchF6fBjRA,660.0,https://www.youtube.com/watch?v=RZchF6fBjRA
The BEST Day for War!💥 | Extra History #shorts,2024-07-18,5970794,429178,1143,a0Szqs5eB5s,60.0,https://www.youtube.com/watch?v=a0Szqs5eB5s
"The Calendar's 10,000 Year History | World History | Extra History",2024-07-16,487026,18671,729,YGEccCwtVMg,606.0,https://www.youtube.com/watch?v=YGEccCwtVMg
Invasion of Quebec: America’s Founding Disaster | US History | Extra History | Part 1,2024-07-13,586919,17389,692,_jPzFvKRuKE,644.0,https://www.youtube.com/watch?v=_jPzFvKRuKE
Biggest Train Heist in US History! #shorts,2024-07-10,1076986,94962,218,L-V-HOYYgBQ,60.0,https://www.youtube.com/watch?v=L-V-HOYYgBQ
The Siege of Vienna | European History | Extra History Complete,2024-07-06,1176459,30208,896,pE3QWKLaxMs,2091.0,https://www.youtube.com/watch?v=pE3QWKLaxMs
Hypatia of Alexandria | LIES | Extra History,2024-07-04,104721,1888,111,wnUv-Yfm9t8,1693.0,https://www.youtube.com/watch?v=wnUv-Yfm9t8
Nero’s Looney Tunes Matricide | Worst Kids in History #shorts,2024-07-03,15465493,1116529,2270,y_PuPTYKQL8,59.0,https://www.youtube.com/watch?v=y_PuPTYKQL8
History of the Board Game - Morals vs. Capitalism | US History | Extra History,2024-06-29,377637,12806,365,MR8tH-NRGxM,666.0,https://www.youtube.com/watch?v=MR8tH-NRGxM
Luckiest Gambler in History | Extra History #shorts,2024-06-25,4558708,398749,974,-Iq27_Yk90s,60.0,https://www.youtube.com/watch?v=-Iq27_Yk90s
Dark History of the Panama Railroad | U.S. History | Extra History,2024-06-22,379217,15239,388,mhaKccJLLn8,633.0,https://www.youtube.com/watch?v=mhaKccJLLn8
Catherine the Great’s Ukraine War | Russian History | Extra History #shorts,2024-06-19,2541419,205612,1480,W_LfiZ3ekOo,60.0,https://www.youtube.com/watch?v=W_LfiZ3ekOo
Hypatia of Alexandria: Everyone Gets Her Wrong | Roman History | Part 4 | Extra History,2024-06-15,235980,9466,379,Eoa4hydiLps,674.0,https://www.youtube.com/watch?v=Eoa4hydiLps
Herod the Not So Great Dad | Worst Dads in History #Shorts,2024-06-11,4442506,411373,1694,W-AOa4a4xYo,57.0,https://www.youtube.com/watch?v=W-AOa4a4xYo
Hypatia of Alexandria: Mob Mentality | Roman History | Part 3 | Extra History,2024-06-08,238570,9485,436,95AAcjMB7Ps,701.0,https://www.youtube.com/watch?v=95AAcjMB7Ps
The Great Beaver Drop 🦫 | US History | Extra History #shorts,2024-06-04,7819649,580902,2259,HmK7490nYa0,60.0,https://www.youtube.com/watch?v=HmK7490nYa0
Hypatia of Alexandria: Christians vs. Pagans | Roman History | Part 2 | Extra History,2024-06-01,302874,11094,329,RqUy82EeBkE,651.0,https://www.youtube.com/watch?v=RqUy82EeBkE
Rockefeller's Deadbeat Dad | Worst Dads in History #Shorts,2024-05-28,6435770,507213,1523,2yQwBY0VMBs,60.0,https://www.youtube.com/watch?v=2yQwBY0VMBs
Ancient Celebrity Murder: Hypatia of Alexandria | Roman History | Part 1 | Extra History,2024-05-25,509133,17002,517,SselOJQd2_4,628.0,https://www.youtube.com/watch?v=SselOJQd2_4
Did Shakespeare Rip Off Hamlet? | Extra History #shorts,2024-05-21,1974590,192563,845,uhyv0TwiSJ4,60.0,https://www.youtube.com/watch?v=uhyv0TwiSJ4
The Viking Expansion Compilation | European History | Extra History Complete,2024-05-18,1279352,27012,774,hdnUiIKGxG0,3937.0,https://www.youtube.com/watch?v=hdnUiIKGxG0
Secret Societies | LIES | Extra History,2024-05-15,150580,2627,220,opBy-sQ75Vw,1813.0,https://www.youtube.com/watch?v=opBy-sQ75Vw
Judy Garland’s Pill-Pusher Mom | Worst Mom's in History | Extra History #shorts,2024-05-12,11850112,931703,2486,-XrO0ZrmR7w,59.0,https://www.youtube.com/watch?v=-XrO0ZrmR7w
The Great Locomotive Chase: First Medals of Honor | US Train History | Extra History,2024-05-11,463397,16726,640,GFy9p1KB8SA,669.0,https://www.youtube.com/watch?v=GFy9p1KB8SA
People Get Godzilla Wrong 🦎 | Japanese History | Extra History #shorts,2024-05-07,9194464,667695,2233,gKzt9Pj2c_Y,60.0,https://www.youtube.com/watch?v=gKzt9Pj2c_Y
The Yakuza | Secret Societies 5 | Japanese History | Extra History,2024-05-04,853579,30468,640,wJqgqEHc3nw,699.0,https://www.youtube.com/watch?v=wJqgqEHc3nw
Darth Deadbeat Dad! | Worst Dads in History | Charity Stream Announcement #shorts,2024-04-30,1241703,96844,482,BYz3U_M3NKE,60.0,https://www.youtube.com/watch?v=BYz3U_M3NKE
The Golden Dawn and Aleister Crowley | Secret Societies 4 | European History | Extra History,2024-04-27,483332,19299,1137,_kS_HrYtxF0,669.0,https://www.youtube.com/watch?v=_kS_HrYtxF0
Whose Gunpowder Won the Civil War?💥 | Extra History #shorts,2024-04-23,3303962,237581,942,PVSmFV3M0MU,58.0,https://www.youtube.com/watch?v=PVSmFV3M0MU
Knights of the Golden Circle | Secret Societies 3 | American History | Extra History,2024-04-20,456884,18172,605,PCqjbbJvAa4,747.0,https://www.youtube.com/watch?v=PCqjbbJvAa4
⚰️ Vikings Killed from Coffins! - Extra History #shorts,2024-04-16,3505215,329685,1199,SfcTfbYxXh8,60.0,https://www.youtube.com/watch?v=SfcTfbYxXh8
The Illuminati | Secret Societies 2 | European History | Extra History,2024-04-13,748356,25345,951,8_JXIXkDE4s,713.0,https://www.youtube.com/watch?v=8_JXIXkDE4s
The Cult of Mithras | Secret Societies 1 | Roman History | Extra History,2024-04-06,615199,27052,805,qmv7BhKEDUo,684.0,https://www.youtube.com/watch?v=qmv7BhKEDUo
The MOST Historical Boat! ⚓️ | Extra History | April Fools #shorts,2024-04-01,1586616,142237,752,foKwhqaE0Lk,60.0,https://www.youtube.com/watch?v=foKwhqaE0Lk
Sitting Bull - LIES - Native American History - Extra History,2024-03-30,76446,2086,168,Z_UraQtpL9E,1489.0,https://www.youtube.com/watch?v=Z_UraQtpL9E
💥 Who blew up the Parthenon? - Extra History #shorts,2024-03-26,4134139,363937,2929,5KfcHbunt5Q,59.0,https://www.youtube.com/watch?v=5KfcHbunt5Q
John L. Sullivan: Boston's Knockout King - US History - Extra History,2024-03-23,249018,11030,320,nI9yIGN2C7E,705.0,https://www.youtube.com/watch?v=nI9yIGN2C7E
The Gross History of White Bread 🤢 - Extra History #shorts,2024-03-19,11916409,773456,1836,NRapL6i5Zm8,59.0,https://www.youtube.com/watch?v=NRapL6i5Zm8
Jim Thorpe: The 20th Century's Greatest Athlete - US History - Extra History,2024-03-16,274777,11799,370,S2oaN0FEwN8,624.0,https://www.youtube.com/watch?v=S2oaN0FEwN8
Washington's Mad Mother! - Worst Moms in History #shorts,2024-03-12,12766491,1087033,3043,SP1Bo0pYK6g,60.0,https://www.youtube.com/watch?v=SP1Bo0pYK6g
The Murder of Sitting Bull - Native American History - Part 4 - Extra History,2024-03-09,230773,12067,576,YivoXjsOCPU,717.0,https://www.youtube.com/watch?v=YivoXjsOCPU
Janes Calamitous Parenting - Worst Moms in History #shorts,2024-03-05,7541832,647057,1609,Xh_AL6ZT87A,60.0,https://www.youtube.com/watch?v=Xh_AL6ZT87A
Sitting Bull: Battle of the Little Bighorn - Native American History - Part 3 - Extra History,2024-03-02,268219,12630,307,QYmyL9kwIJ4,646.0,https://www.youtube.com/watch?v=QYmyL9kwIJ4
Catherine's NOT Great Mom - Worst Moms in History #shorts,2024-02-27,8349248,699188,1091,Haxu1z5airg,60.0,https://www.youtube.com/watch?v=Haxu1z5airg
Sitting Bull: No Reservations - Native American History - Part 2 - Extra History,2024-02-24,266266,12178,396,WI7TTeqrZm4,644.0,https://www.youtube.com/watch?v=WI7TTeqrZm4
Jesse James' Scammer Mom - Worst Moms in History #shorts,2024-02-20,6159054,545066,1905,r8rJP4szwX8,60.0,https://www.youtube.com/watch?v=r8rJP4szwX8
Sitting Bull: Origin of a Legend - Native American History - Part 1 - Extra History,2024-02-17,404742,16983,435,CSa-aSM59JE,670.0,https://www.youtube.com/watch?v=CSa-aSM59JE
Wu-st Mom in History!? - Worst Moms in History #shorts,2024-02-13,9863498,809752,1935,UWkBXFBcEGk,60.0,https://www.youtube.com/watch?v=UWkBXFBcEGk
Empress Wu Zetian - LIES - Chinese History - Extra History,2024-02-10,85279,2259,104,rt1uePpPqCQ,1222.0,https://www.youtube.com/watch?v=rt1uePpPqCQ
Pigs: History's Greatest Villains? - World History - Extra History,2024-02-07,294497,13304,554,0_S0dlpMsBQ,459.0,https://www.youtube.com/watch?v=0_S0dlpMsBQ
Hunt Cryptids Legally! - Extra Mythology #shorts,2024-02-06,1251334,104364,344,QjA6d_aPzRc,50.0,https://www.youtube.com/watch?v=QjA6d_aPzRc
