title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
The Court of Love -  Eleanor of Aquitaine - European History - Part 2 - Extra History,2022-08-27,546332,18486.0,470.0,4_KgUiDUPs0,642.0,https://www.youtube.com/watch?v=4_KgUiDUPs0,3277,39,Eleanor of Aquitaine
The Devil's Brood - Eleanor of Aquitaine - European History - Part 3 - Extra History,2022-09-03,469091,16603.0,394.0,z8a2_kEKXn0,622.0,https://www.youtube.com/watch?v=z8a2_kEKXn0,3284,39,Eleanor of Aquitaine
Mother of Empires - Eleanor of Aquitaine - European History - Part 4 - Extra History,2022-09-10,419807,17975.0,498.0,NSSh1AfFrwA,702.0,https://www.youtube.com/watch?v=NSSh1AfFrwA,3291,39,Eleanor of Aquitaine
Eleanor of Aquitaine - LIES - European History - Extra History,2022-10-01,63917,1956.0,136.0,sOTYzWonpK4,1732.0,https://www.youtube.com/watch?v=sOTYzWonpK4,3312,39,Eleanor of Aquitaine
End of the Samurai - Black Ships - Japanese History - Extra History - Part 1,2020-11-14,1530212,40914.0,1907.0,FmRm--vRHCg,573.0,https://www.youtube.com/watch?v=FmRm--vRHCg,2626,48,End of the Samurai
End of the Samurai - Gangs of Kyoto - Japanese History - Extra History - Part 2,2020-11-21,1017559,28845.0,829.0,c5kn5GFujuA,604.0,https://www.youtube.com/watch?v=c5kn5GFujuA,2633,48,End of the Samurai
End of the Samurai - The Boshin War - Japanese History - Extra History - Part 3,2020-11-28,957641,26578.0,698.0,499MEYhur7E,606.0,https://www.youtube.com/watch?v=499MEYhur7E,2640,48,End of the Samurai
End of the Samurai - The Imperial Army - Japanese History - Extra History - Part 4,2020-12-05,788775,24040.0,809.0,_IyXdZi_6yg,559.0,https://www.youtube.com/watch?v=_IyXdZi_6yg,2647,48,End of the Samurai
End of the Samurai - The Last Samurai - Japanese History - Extra History - Part 5,2020-12-12,871681,28974.0,1281.0,Ir1Aua1jWc4,610.0,https://www.youtube.com/watch?v=Ir1Aua1jWc4,2654,48,End of the Samurai
End of the Samurai - Lies - Japanese History - Extra History,2020-12-26,117386,3444.0,250.0,7Fzy25qzW3g,1408.0,https://www.youtube.com/watch?v=7Fzy25qzW3g,2668,48,End of the Samurai
England: South Sea Bubble - The Sharp Mind of John Blunt - Extra History - Part 1,2015-02-28,3326802,45924.0,2156.0,k1kndKWJKB8,549.0,https://www.youtube.com/watch?v=k1kndKWJKB8,540,87,England: South Sea Bubble
England: South Sea Bubble - Too Big to Fail - Extra History - Part 2,2015-03-14,2300359,28517.0,1096.0,Fsk6oZm1EEA,513.0,https://www.youtube.com/watch?v=Fsk6oZm1EEA,554,87,England: South Sea Bubble
England: South Sea Bubble - Buying Out Britain - Extra History - Part 3,2015-03-28,2077179,26599.0,1015.0,1vcF5rebN20,576.0,https://www.youtube.com/watch?v=1vcF5rebN20,568,87,England: South Sea Bubble
England: South Sea Bubble - The Bubble Pops - Extra History - Part 4,2015-04-11,1839376,24695.0,612.0,SIlnsP6AjP8,416.0,https://www.youtube.com/watch?v=SIlnsP6AjP8,582,87,England: South Sea Bubble
England: South Sea Bubble - It Was Walpole - Extra History - Part 5,2015-04-25,1849685,31318.0,1779.0,a_1IpUCUuVc,530.0,https://www.youtube.com/watch?v=a_1IpUCUuVc,596,87,England: South Sea Bubble
England: South Sea Bubble - Lies - Extra History,2015-05-09,588143,8891.0,726.0,NqeXXzKTzRU,1263.0,https://www.youtube.com/watch?v=NqeXXzKTzRU,610,87,England: South Sea Bubble
"England: The Broad Street Pump - You Know Nothing, John Snow - Extra History - Part 1",2015-11-14,2815296,39962.0,1497.0,TLpzHHbFrHY,454.0,https://www.youtube.com/watch?v=TLpzHHbFrHY,799,83,England: The Broad Street Pump
England: The Broad Street Pump - Epidemiology Begins! - Extra History - Part 2,2015-11-21,1992082,27126.0,864.0,1jlsyucUwpo,365.0,https://www.youtube.com/watch?v=1jlsyucUwpo,806,83,England: The Broad Street Pump
England: The Broad Street Pump - Map of the Blue Death - Extra History - Part 3,2015-11-28,1910941,36449.0,1507.0,9NVT6iZP2qg,540.0,https://www.youtube.com/watch?v=9NVT6iZP2qg,813,83,England: The Broad Street Pump
England: The Broad Street Pump - The Sanitary Movement - Extra History - Part 4,2015-12-05,1201294,26178.0,1216.0,cba7di0eL8I,394.0,https://www.youtube.com/watch?v=cba7di0eL8I,820,83,England: The Broad Street Pump
England: The Broad Street Pump - Lies - Extra History,2015-12-12,356983,6363.0,603.0,rg_7q_FPjxQ,906.0,https://www.youtube.com/watch?v=rg_7q_FPjxQ,827,83,England: The Broad Street Pump
Kings of Solomon: Not Prester John - Ethiopian Empire - Part 1 - Extra History,2022-06-25,601489,22131.0,900.0,ZtbLrCrm56Y,649.0,https://www.youtube.com/watch?v=ZtbLrCrm56Y,3214,40,Ethiopian Empire
Kings of Solomon: New Jerusalem - Ethiopian Empire - Part 2 - Extra History,2022-07-02,402040,14733.0,551.0,9lQJxcYL6Hk,662.0,https://www.youtube.com/watch?v=9lQJxcYL6Hk,3221,40,Ethiopian Empire
Kings of Solomon: Church and State - Ethiopian Empire - Part 3 - Extra History,2022-07-16,327935,12736.0,334.0,GdS10vtF2Q8,641.0,https://www.youtube.com/watch?v=GdS10vtF2Q8,3235,40,Ethiopian Empire
Kings of Solomon: Time of Judges - Ethiopian Empire - Part 4 - Extra History,2022-07-23,285458,11362.0,441.0,oAsURqXz5EM,591.0,https://www.youtube.com/watch?v=oAsURqXz5EM,3242,40,Ethiopian Empire
