London's Greatest Prison Break! - Jack Sheppard - Extra History #shorts,2023-11-06,4873630,441053,757,tVM0AaMkiuU,52.0,https://www.youtube.com/watch?v=tVM0AaMkiuU
The Little Ice Age: Climate Change - World History - Part 1 - Extra History,2023-11-04,515104,17964,712,b9QQWxqQhM8,649.0,https://www.youtube.com/watch?v=b9QQWxqQhM8
Summon Ghosts... WITH YOUR PHONE! - Extra History #shorts,2023-10-30,1449194,132705,318,P2WVo18VXns,59.0,https://www.youtube.com/watch?v=P2WVo18VXns
Henry Ford - LIES - US History - Extra History,2023-10-28,85398,2553,186,WnksQgTVtXA,2130.0,https://www.youtube.com/watch?v=WnksQgTVtXA
"♫ ""An Industrial Genius"" By Tiffany Roman  - Instrumental Music - Extra History",2023-10-25,50042,1167,50,9o__JNdLpeo,183.0,https://www.youtube.com/watch?v=9o__JNdLpeo
The Oldest Haunted House! - Extra History #shorts,2023-10-23,7850969,493223,1351,-dqu3oOa0nQ,60.0,https://www.youtube.com/watch?v=-dqu3oOa0nQ
The Draft Riots of 1863 - US Civil War - Extra History,2023-10-21,367385,15052,746,RRQ5OghPwKU,631.0,https://www.youtube.com/watch?v=RRQ5OghPwKU
Faceless Ghost Haunts Hawaii - Extra History #shorts,2023-10-16,1359174,125965,579,DKbLu_m2wJU,54.0,https://www.youtube.com/watch?v=DKbLu_m2wJU
Henry Ford: A Tragic End - US History - Part 5 - Extra History,2023-10-14,556871,22578,721,aa4n-NpfjEs,760.0,https://www.youtube.com/watch?v=aa4n-NpfjEs
Ramesses the Great: Reign of the God-King - Egyptian History - Part 2 - Extra History,2023-10-12,281403,10295,303,lA0MXYMXpe8,674.0,https://www.youtube.com/watch?v=lA0MXYMXpe8
Dam It! Saving Ramesses' Temple from the Nile - Extra History #shorts,2023-10-10,1654671,133660,534,OyaD3Fbk-Ak,60.0,https://www.youtube.com/watch?v=OyaD3Fbk-Ak
Henry Ford: Ignorant Anarchist - US History - Part 4 - Extra History,2023-10-07,513616,21001,1250,HUg22semUoE,665.0,https://www.youtube.com/watch?v=HUg22semUoE
Ramesses the Great: The Battle of Kadesh - Egyptian History - Part 1 - Extra History,2023-10-05,357321,13494,446,4BFh0kTOjBA,658.0,https://www.youtube.com/watch?v=4BFh0kTOjBA
Henry Ford: The Model T - US History - Part 3 - Extra History,2023-09-30,558473,20170,536,p7G4s8sjNtk,661.0,https://www.youtube.com/watch?v=p7G4s8sjNtk
Roman Shaving was Brutal! - Extra History #shorts,2023-09-26,13184900,783809,1743,TUQ7L3JMHio,60.0,https://www.youtube.com/watch?v=TUQ7L3JMHio
Henry Ford: Motor City - US History - Part 2 - Extra History,2023-09-23,573551,21040,372,wT7NJx6WSag,683.0,https://www.youtube.com/watch?v=wT7NJx6WSag
Barber-Surgeons?!?? - Extra History #shorts,2023-09-19,3657137,284653,713,KMakhmDngbo,60.0,https://www.youtube.com/watch?v=KMakhmDngbo
Henry Ford: The Boy Who Hated Horses - US History - Part 1 - Extra History,2023-09-16,902270,32092,783,tQAFS1d-0hY,701.0,https://www.youtube.com/watch?v=tQAFS1d-0hY
The Death of Henry Ford's Dream - Extra History #shorts,2023-09-12,4335582,305593,892,1XIOEvjwn00,60.0,https://www.youtube.com/watch?v=1XIOEvjwn00
